PROTEIN;TOTAL_FAT;CARBS;ENERGY;FIBER;SATURATED_FAT;SUGARS;NUTRI_SCORE;CLASSIFICATION
2.5;0;77.5;300;5;0;65;0;FALSE
0;0;78.57;321;7.1;0;64.29;0;FALSE
4.35;17.39;60.87;435;0;6.52;13.04;0.21875;FALSE
0.71;0;15;64;1.4;0;12.14;3.5495;FALSE
16.67;66.67;13.33;667;6.7;6.67;3.33;0;FALSE
6.41;6.41;28.21;192;6.4;0;2.56;6.1685;TRUE
2.17;0.4;33.14;166;8.3;0;16.57;4.4185;FALSE
1.08;0.39;53.84;231;7.2;0;46.13;0;FALSE
16.64;59.9;19.97;626;6.7;6.66;3.33;0.525;FALSE
3.57;32.14;57.14;536;10.7;1.79;7.14;2.809;FALSE
7.14;25;53.57;464;10.7;1.79;0;5.1475;FALSE
0.8;0.4;12;56;1.6;0;5.6;4.546;FALSE
21.13;35.21;28.17;493;7;7.04;7.04;3.10925;FALSE
14.08;35.21;35.21;486;7;7.04;14.08;0.9975;FALSE
7.14;35.71;7.14;357;0;25;7.14;0;FALSE
8.89;3.33;77.78;378;2.2;0;0;6.346;TRUE
21.43;26.79;3.57;304;0;8.93;1.79;2.9585;FALSE
0.43;0;20.94;85;0.9;0;20.09;2.20975;FALSE
1.04;0;8.33;42;2.1;0;4.17;4.94;FALSE
6.67;8.33;80;433;3.3;0;0;5.71925;FALSE
6.67;6.67;80;400;0;0;20;2.2335;FALSE
6.67;10;80;467;0;0;20;1.88375;FALSE
6.67;10;80;467;0;0;20;1.88375;FALSE
6.67;10;80;467;0;0;20;1.88375;FALSE
4.71;4.71;13.61;115;0.5;2.09;3.14;4.31325;FALSE
2.22;10;26.67;200;2.2;1.11;18.89;1.612;FALSE
3.57;16.07;64.29;464;3.6;7.14;35.71;0;FALSE
5;5;70;350;0;2.5;35;0;FALSE
7.05;28.22;59.96;529;3.5;5.29;3.53;1.95125;FALSE
2.5;0;75;325;7.5;0;62.5;0;FALSE
10;2.78;51.11;256;4.4;1.11;5.56;5.9265;FALSE
4.37;2.43;28.64;165;1;0.49;3.4;4.93875;FALSE
3.57;3.06;23.47;168;1;1.02;2.04;4.8265;FALSE
25;3.57;10.71;179;3.6;0;0;9.06825;TRUE
6.67;20;66.67;467;0;10;46.67;0;FALSE
4.17;2.08;75;333;0;0;41.67;0;FALSE
6.67;16.67;70;467;3.3;0;10;3.37675;FALSE
7.69;30.77;57.69;538;3.8;15.38;30.77;0;FALSE
3.03;27.27;66.67;515;3;7.58;30.3;0;FALSE
21.43;28.57;3.57;357;0;17.86;0;0.80325;FALSE
2.94;8.82;8.82;132;0;2.94;2.94;3.35;FALSE
0;0;15.15;61;0;0;9.09;3.62125;FALSE
4.62;0;13.85;77;6.2;0;0.77;6.79825;TRUE
10.64;4.26;48.94;277;8.5;0;2.13;7.48125;TRUE
4.65;37.21;55.81;581;7;20.93;39.53;0;FALSE
1.64;0;6.56;33;1.6;0;3.28;5.06575;FALSE
12.73;20;9.09;273;0;6.36;5.45;2.43375;FALSE
4.55;10.23;34.09;239;1.1;3.98;23.86;0.24575;FALSE
4.35;3.8;38.04;207;8.7;0.54;14.13;4.70625;FALSE
10.62;10.62;45.13;319;1.8;2.21;3.54;4.72775;FALSE
3.7;18.52;70.37;481;3.7;9.26;40.74;0;FALSE
1.63;0.61;6.94;41;1.2;0;1.63;5.16875;FALSE
3.45;12.64;26.44;230;1.1;8.05;19.54;0;FALSE
17.86;10.71;71.43;429;7.1;5.36;3.57;6.04525;TRUE
0;0;0.83;4;0;0;0.83;4.8745;FALSE
0;26.67;10;267;0;3.33;6.67;0.43325;FALSE
12.86;1.43;72.86;357;2.9;0;10;5.77675;FALSE
0.71;0.71;12.14;57;2.9;0;8.57;4.31575;FALSE
3.28;9.84;34.43;230;1.6;4.92;24.59;0;FALSE
5.38;0.38;21.54;108;4.6;0;7.69;5.5085;FALSE
21.43;16.07;7.14;250;0;7.14;0;4.76;FALSE
21.43;21.43;3.57;286;0;14.29;3.57;1.892;FALSE
3.54;0;8.85;53;1.8;0;6.19;4.94925;FALSE
0.86;0;4.31;22;0.9;0;2.59;4.915;FALSE
1.59;0;6.35;32;1.6;0;4.76;4.8365;FALSE
0.84;0;6.72;34;1.7;0;3.36;4.9535;FALSE
5.38;0;14.62;85;6.2;0;0.77;6.91025;TRUE
3.12;1.56;9.38;62;3.1;0;6.25;4.979;FALSE
1.56;0.78;20.31;94;1.6;0;15.62;3.1095;FALSE
0.83;0;5.83;29;0.8;0;4.17;4.65175;FALSE
8.59;9.38;28.12;234;0.8;2.73;0.78;4.6525;FALSE
18.75;40.62;37.5;531;6.2;7.81;21.88;0;FALSE
10.71;17.86;64.29;429;7.1;1.79;17.86;3.00675;FALSE
